,person_id,name,occupation,coordinates,year,event_role
0,P00000,Geörg Buelacher,metzger,POINT(2610989.9139797473 1267282.3197789146),1418,start
1,P00000,Georg Buolacher,,POINT(2610989.9139797473 1267282.3197789146),1583,present
2,P00000,Georg Buollacher,,POINT(2611369.003232364 1267246.4616562692),1593,present
3,P00000,Georg Buollacher,metzger,POINT(2611367.1908900486 1267250.15854663),1600,present
4,P00000,Georg Buollacher,metzger,POINT(2611367.1908900486 1267250.15854663),1603,present
5,P00000,Georg Buollacher,metzger,POINT(2611367.1908900486 1267250.15854663),1604,present
6,P00000,Georg Bulacher,metzger,POINT(2610989.9139797473 1267282.3197789146),1604,present
7,P00000,Georg Bulacher,metzger,POINT(2611367.1908900486 1267250.15854663),1608,present
8,P00000,Georg Bulacher,,POINT(2611356.1272668187 1267268.9468961759),1619,present
9,P00000,Georg Buelachen,,POINT(2611019.380269321 1267293.2709140223),1622,present
10,P00000,Geörg Buelacher,,POINT(2610989.9139797473 1267282.3197789146),1622,present
11,P00000,Geörg Bulacher,,POINT(2611133.3045846196 1267221.6957814859),1625,present
12,P00000,Georg Buolacher,metzger,POINT(2611367.1908900486 1267250.15854663),1626,present
13,P00000,Georg Bulacher,,POINT(2610779.189993111 1267350.2746330216),1628,present
14,P00000,Georg Bulacher,meister,POINT(2611375.1229633377 1267215.8970427464),1632,present
15,P00000,Georg Buelacher,,POINT(2610986.587022479 1267292.064152231),1639,present
16,P00000,Georg Bülacher,,POINT(2610989.9139797473 1267282.3197789146),1640,present
17,P00000,Georg Buelacher,,POINT(2611133.3045846196 1267221.6957814859),1642,present
18,P00000,Georg Buelacher,,POINT(2610989.9139797473 1267282.3197789146),1643,present
19,P00000,Georg Buelacher,,POINT(2611246.9546356634 1267215.067877789),1643,present
20,P00000,Georg Bulacher,,POINT(2611302.1800984624 1267231.1171469442),1650,present
21,P00000,Georg Bulacher,,POINT(2611302.1800984624 1267231.1171469442),1651,present
22,P00000,Georg Bulacher,metzger,POINT(2611152.873445645 1267270.5822155203),1652,present
23,P00000,Georg Bulacher,,POINT(2611133.3045846196 1267221.6957814859),1655,present
24,P00000,Georg Buolacher,,POINT(2610989.9139797473 1267282.3197789146),1675,present
25,P00000,Georg Buolacher,,POINT(2610989.9139797473 1267282.3197789146),1679,end
26,P00001,Hans Buolacher,,POINT(2611019.380269321 1267293.2709140223),1583,start
27,P00001,Hanns Buolacher,metzger,POINT(2610823.321234407 1267394.4267014228),1601,present
28,P00001,Hanns Buolacher,metzger,POINT(2610823.321234407 1267394.4267014228),1607,present
29,P00001,Johannes Buolacher,,POINT(2610973.037771125 1267290.9262723147),1612,present
30,P00001,Hanns Bulacher,,POINT(2611389.051963113 1267293.8889905922),1630,present
31,P00001,Hanns Buelacher,metzger,POINT(2610986.587022479 1267292.064152231),1639,present
32,P00001,Hanns Buolacher,metzger,POINT(2611368.561751122 1267216.9636338989),1649,present
33,P00001,Hans Bulacher,metzger|amtmann,POINT(2611368.561751122 1267216.9636338989),1650,present
34,P00001,Hans Bülacher,,POINT(2611133.3045846196 1267221.6957814859),1655,present
35,P00001,Hans Bulacher,,POINT(2611133.3045846196 1267221.6957814859),1656,present
36,P00001,Hanns Bulacher,metzger,POINT(2611470.4805380595 1266667.4485421316),1656,present
37,P00001,Hans Bulacher,metzger,POINT(2611133.3045846196 1267221.6957814859),1657,present
38,P00001,Hanns Bulacher,metzger,POINT(2611581.4341485244 1266602.0160783015),1658,present
39,P00001,Hanns Bulacher,metzger,POINT(2611368.561751122 1267216.9636338989),1658,present
40,P00001,Hanns Buelacher,metzger,POINT(2611344.4553238284 1266834.507515271),1662,present
41,P00001,Hanns Bulacher,metzger,POINT(2611368.561751122 1267216.9636338989),1662,present
42,P00001,Hans Bulacher,metzger,POINT(2610973.037771125 1267290.9262723147),1664,present
43,P00001,Hans Bulacher,metzger,POINT(2610988.568256193 1267301.6224815082),1664,present
44,P00001,Johannes Buolacher,,POINT(2610973.037771125 1267290.9262723147),1668,present
45,P00001,Hanns Bulacher,,POINT(2611371.2127166833 1267205.2294152088),1668,present
46,P00001,Hanns Bulacher,,POINT(2611470.4805380595 1266667.4485421316),1672,present
47,P00001,Hanns Bulacher,,POINT(2611470.4805380595 1266667.4485421316),1674,present
48,P00001,Johannes Buolacher,,POINT(2610973.037771125 1267290.9262723147),1678,end
49,P00002,Anna Schmaltzin,,POINT(2611018.3313008165 1267336.9482539399),1628,start
50,P00002,Anna Schmaltzin,,POINT(2611261.0872990917 1266985.5519096334),1628,present
51,P00002,Anna Schmaltzin,,POINT(2611018.3313008165 1267336.9482539399),1630,end
52,P00003,Theodor Richarts,,POINT(2611357.20974774 1267544.0690849684),1610,start
53,P00003,Theodor Richarts,,POINT(2611018.3313008165 1267336.9482539399),1630,end
54,P00004,Marz Schenckhen,,POINT(2611168.4632808156 1267483.6414939843),1580,start
55,P00004,Marz Schenckhen,,POINT(2611484.4075489743 1267158.9719154122),1581,present
56,P00004,Marz Schenckhen,,POINT(2611054.6441612905 1267307.8499066106),1595,present
57,P00004,Marz Schenckhen,,POINT(2611046.8961949493 1267312.369553643),1608,present
58,P00004,Marz Schenckhen,rat,POINT(2611251.206718196 1267005.7201981235),1609,present
59,P00004,Marz Schenckhen,,POINT(2611046.8961949493 1267312.369553643),1612,present
60,P00004,Marz Schenckh,,POINT(2611018.3313008165 1267336.9482539399),1628,present
